,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
231,Miel Cosecha Dorada 500 g,7730905132188,Unitario,EXE,$,147.00,147.00
232,Miel Cosecha Dorada 250 g,7730905132195,Unitario,EXE,$,108.00,108.00
233,Miel Pura de Abejas 5 kg,,Unitario,EXE,$,1050.00,1050.00
,,,,,,,
,"100,104 • Repostería",,,,,,
,,,,,,,
610,Caroteno 1 L,,Unitario,22%,$,371.66,371.66
611,Amarillo Huevo Especial 1 L,,Unitario,22%,$,71.00,71.00
612,Vainilla Especial 1 L,,Unitario,22%,$,185.83,185.83
613,Polvo de Hornear 1 kg,,Unitario,22%,$,127.55,127.55
606,Baño Repostería Blanco 1 kg,,6 unid.,22%,U$S,5.50,33.00
607,Baño Repostería con Leche 1 kg,,6 unid.,22%,U$S,5.50,33.00
608,Baño Repostería Semiamargo 1 kg,,6 unid.,22%,U$S,5.50,33.00
K112,Arándanos con Chocolate 1 kg,,Unitario,22%,U$S,29.21,29.21
K113,Café con Chocolate 1 kg,,Unitario,22%,$,1905.00,1905.00
K017,Almendras con Chocolate 1 kg,,Unitario,22%,U$S,33.34,33.34
609,"Pasas de Uva con Chocolate 8,5 kg",,"8,5 kg",22%,U$S,11.55,98.17
K111,Pasas de Uva con Chocolate 1 kg,,Unitario,22%,U$S,15.12,15.12
0784,"Garrapiñada 5,5 kg",,"5,5 kg",22%,U$S,3.90,21.45
K0784,Garrapiñada 1 kg,,Unitario,22%,U$S,4.68,4.68
600,Chispitas de Chocolate Termofusión 8 kg,,8 kg,22%,U$S,7.27,58.16
K600,Chispitas de Chocolate Termofusión 1 kg,,Unitario,22%,U$S,8.72,8.72
601,Maní con Chocolate Semiamargo 7 kg,,7 kg,22%,U$S,7.03,49.18
K601,Maní con Chocolate Semiamargo 1 kg,,Unitario,22%,U$S,8.43,8.43
603,Maní con Chocolate Confitado de Colores 7 kg,,7 kg,22%,U$S,7.94,55.60
K603,Maní con Chocolate Confitado de Colores 1 kg,,Unitario,22%,U$S,9.53,9.53
605,"Mini Lentejas de Chocolate de Colores 9,5 kg",,"9,5 kg",22%,U$S,7.72,73.37
K605,Mini Lentejas de Chocolate de Colores 1 kg,,Unitario,22%,U$S,9.27,9.27
602,Lentejas de Chocolate de Colores 10 kg,,10 kg,22%,U$S,7.99,79.93
K602,Lentejas de Chocolate de Colores 1 kg,,Unitario,22%,U$S,9.59,9.59
 ,Bolita de Cereal con Chocolate 4 kg,,4 kg,22%,U$S,9.95,39.81
K604,Bolita de Cereal con Chocolate 1 kg,,Unitario,22%,U$S,11.94,11.94
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,104 • Repostería (Continuación) • Nuevo",,,,,,
,,,,,,,
