,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
435,Cepillo de Uñas Limpiamás,7896230026032,50 unid.,22%,U$S,0.27,13.50
,,,,,,,
428,Escoba TopMax Limpiamás,7898650900343,12 unid.,22%,U$S,1.75,21.00
440,Escoba Angular Limpiamás,7896230900354,12 unid.,22%,U$S,1.38,16.56
401,Escoba Barrebien Limpiamás,7896230900336,12 unid.,22%,U$S,1.55,18.60
402,Escoba Recta Perfecta Limpiamás,7898650900329,12 unid.,22%,U$S,1.29,15.48
403,Escoba Recta Xterna Limpiamás,7896230900367,12 unid.,22%,U$S,1.50,18.00
413,Escoba Superpelo Limpiamás,7898650901050,12 unid.,22%,U$S,1.80,21.60
4161,Escobilla de Jardín Limpiamás,7898253663270,12 unid.,22%,U$S,1.70,20.40
4071,Escobilla Sanitaria con Pote Limpiamás,,12 unid.,22%,U$S,1.30,15.60
444,Escobillón Doble Acción Limpiamás,7898253663270,12 unid.,22%,U$S,1.56,18.71
421,Escoba Fregón Limpiamás,7898650900565,12 unid.,22%,U$S,1.75,21.00
4241,Escoba de Calle 30 cm Limpiamás,7896230900293,12 unid.,22%,U$S,4.30,51.60
4181,Escoba de Calle 40 cm Limpiamás,7896230900196,12 unid.,22%,U$S,5.50,66.00
,,,,,,,
445,Lampazo Duplo 30 cm Limpiamás,7898650900411,12 unid.,22%,U$S,1.34,16.08
446,Lampazo Duplo 40 cm Limpiamás,7898650900428,12 unid.,22%,U$S,1.59,19.10
430,Limpia Vidrio 15 cm Limpiamás,,24 unid.,22%,U$S,0.86,20.64
429,Mopa para Piso Cabo de Madera Limpiamás,,20 unid.,22%,U$S,2.40,48.00
,,,,,,,
409,Pala con Clip Limpiamás,,12 unid.,22$,U$S,0.45,5.40
4261,Pala con Mango Limpiamás,7898949961857,12 unid.,22$,U$S,0.96,11.52
,,,,,,,
437,Balde de Colores 12 L Limpiamás,,24 unid.,22%,U$S,2.44,58.56
427,Balde Escurridor 12 L Limpiamás,,24 unid.,22%,U$S,2.60,62.40
4390,Papelera con Tapa 10 L Limpiamás,,48 unid.,22%,U$S,4.20,201.60
,,,,,,,
U4391,Contenedor de Residuos 100 L (verde/rojo/azul),,Unitario,22%,U$S,50.00,50.00
U439,Contenedor de Residuos 120 L (verde/rojo/azul),,Unitario,22%,U$S,58.50,58.50
U4392,Contenedor de Residuos 240 L (verde/rojo/azul),,Unitario,22%,U$S,95.00,95.00
,,,,,,,
,"100,500 • Artículos de Limpieza • Limpiamás+ (Continuación)",,,,,,
,,,,,,,
450,Palillos Plásticos x12 Unidades Limpiamás,,12 unid.,22%,U$S,1.24,14.87
4361,Perchas Set 3 Unidades Limpiamás,,24 unid.,22%,U$S,0.82,19.74
434,Plumero de Colores 60 cm Limpiamás,,60 unid.,22%,U$S,0.61,36.60
438,Sopapas Limpiamás,,12 unid.,22%,U$S,2.00,24.00
,,,,,,,
5810,Bolsas de Residuos Limpiamás 50x58cm 10 unid.,7730905133130,36 Rollos,22%,U$S,0.32,11.52
5825,"Bolsas de Residuos Limpiamás 50x58cm 25 Unid,",7730905133147,20 Rollos,22%,U$S,0.53,10.60
7010,Bolsas de Residuos Limpiamás 70x100cm 10 Unid.,7730905133154,12 Rollos,22%,U$S,1.03,12.36
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,501 • Artículos de Limpieza • Limppano",,,,,,
,,,,,,,
478,Deshumidificador Natural 230 g,,12 unid.,22%,U$S,1.70,20.40
4771,Deshumidificador Limón 100 g,,12 unid.,22%,U$S,1.15,13.80
4781,Deshumidificador Natural 100 g,,12 unid.,22%,U$S,1.15,13.80
4791,Deshumidificador Lino 100 g,,12 unid.,22%,U$S,1.15,13.80
480,Deshumidificador c/Percha Natural 200 g,,18 unid.,22%,U$S,2.15,38.70
,,,,,,,
451,Esponja Multiuso Individual,,60 unid.,22%,U$S,0.18,10.80
452,Esponja Multiuso x3 unidades,,60 unid.,22%,U$S,0.52,31.20
453,Esponja Salvauñas Redonda Individual,,60 unid.,22%,U$S,0.30,18.00
454,Esponja Salvauñas Rectangular Individual,,60 unid.,22%,U$S,0.27,16.20
474,Esponja Salvauñas Rectangular x3 unidades,,60 unid.,22%,U$S,0.79,47.40
455,Esponja Antiadherente Individual,,60 unid.,22%,U$S,0.21,12.60
,,,,,,,
456,Esponja Rayum Individual,,60 unid.,22%,U$S,0.36,21.60
457,Esponja de Acero Inoxidable,,24 unid.,22%,U$S,0.53,12.72
458,Esponja de Cobre,,50 unid.,22%,U$S,0.70,35.00
459,Esponja de Baño Porus Surtida,,24 unid.,22%,U$S,0.29,6.96
460,Esponja de Baño Porus Fleur,,12 unid.,22%,U$S,1.10,13.20
461,Esponja de Baño Porus Sensation,,24 unid.,22%,U$S,0.69,16.56
462,Paño Furatto x5 unidades (Azul/Lavanda/Limón),,25 unid.,22%,U$S,0.70,17.50
463,Toalex - Rollo de Toallas Rehusable,,12 unid.,22%,U$S,2.20,26.40
464,Paño Multiuso Tango x2 unidades,,30 unid.,22%,U$S,0.84,25.20
465,Guantes Forrados Tamaño P/M/G,,24 unid.,22%,U$S,1.50,36.00
,,,,,,,
466,Franela unitario,,24 unid.,22%,U$S,0.45,10.80
470,Escoba Uso Externo Limppano,,12 unid.,22%,U$S,2.30,27.60
471,Lampazo 30 cm Limppano,,12 unid.,22%,U$S,2.30,27.60
472,Lampazo 40 cm Limppano,,12 unid.,22%,U$S,2.63,31.56
,,,,,,,
,Alimentos para Mascotas • NUEVO,,,,,,
,,,,,,,
,Alimentos para Perros,,,,,,
,,,,,,,
860,"Arroz de Perro Cango 1,7 kg",,12 unid.,10%,$,50.50,606.00
,,,,,,,
861,KAU High Premium - Todas las razas 15 kg,7899729800670,Unitario,22%,U$S,1.65,24.69
862,Turbocão Premium - Razas pequeñas 15 kg,7899729800786,Unitario,22%,U$S,1.65,24.74
863,Turbocão Premium - Cachorros 15 kg,7899729800731,Unitario,22%,U$S,1.77,26.55
864,Turbocão Premium - Razas grandes 15 kg,7899729800816,Unitario,22%,U$S,1.60,23.94
865,Cão Criador - Todas las razas 15 kg,7899729800397,Unitario,22%,U$S,1.14,17.12
,,,,,,,
8621,Turbocão Premium - Razas pequeñas 1 kg,7899729800236,10 unid.,22%,U$S,2.00,20.01
8631,Turbocão Premium - Cachorros 1 kg,7899729800298,10 unid.,22%,U$S,2.11,21.14
8641,Turbocão Premium - Razas grandes 1 kg,7899729800335,10 unid.,22%,U$S,1.92,19.19
8657,Cão Criador - Todas las razas 7 kg,7899729800373,Unitario,22%,U$S,1.24,8.66
,,,,,,,
,Alimentos para Gatos,,,,,,
,,,,,,,
866,"Turbogato Premium Gato - Todas las razas 10,1 kg",7899729800830,Unitario,22%,U$S,1.87,18.85
867,"Turbogato Premium Gato - Gatos Castrados 10,1 kg",7899729800724,Unitario,22%,U$S,1.80,18.20
8682,Gato Criador - Todas las razas 25 kg,7899729800458,Unitario,22%,U$S,1.52,38.09
,,,,,,,
8661,Turbogato Premium Gato - Todas las razas 1 kg,7899729800038,10 unid.,22%,U$S,2.24,22.40
8671,Turbogato Premium Gato - Gatos Castrados 1 kg,7899729800717,10 unid.,22%,U$S,2.17,21.70
868,Gato Criador - Todas las razas 7 kg,7899729800441,Unitario,22%,U$S,1.61,11.27
